title,salary,company,posted,district,job_description,Career Level,Years of Experience,Company Website,Qualification,Job Type,Job Functions,url
Data Engineer,salary,aimHigher Consultancy Limited,2022-12-06,district,"Company Description
Our client is a strong brand in FMCG with global operations. Due to business need, they are looking for a Data Engineer to join their team
Responsibilities
Handle the implementations of data analytics project
Work closely with business stakeholders on users’ requirements 
Manage data lake, data warehouse and data-collection tasks.
Monitor and support data warehouse, BI platforms and perform ETL.
Requirements
Diploma or above in Computer Science, Information Technology or equivalent
Minimum 2 years of experience in Data Engineering
Solid experience in programming such as Python, SQL or R
Knowledge in database such as Oracle and MySQL
Experience in BI tools such as Qlik Sense, Tableau or Power BI is a plus
Experience in cloud such as AWS / Azure  is a plus
Strong problem-solving skills and communication skills
Interested parties please send your updated resume in WORD format with current and expected salaries (quoting Employer Ref:)",Middle,2 years,http://www.aimhigher.com,Degree,Full Time,"Information Technology (IT), DBA, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-engineer-100003009913073?jobId=jobsdb-hk-job-100003009913073&sectionRank=13&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
Data Analyst,salary,Hong Kong Express Airways Limited,2022-12-05,Tung Chung,"Role Purpose
Perform exploratory data analysis and develop business values from data; 
Understand the data and create insightful visualization to facilitate user understanding;
Examine data schema and ensure/maintain data quality;
Identify opportunities for leveraging corporate data and drive data-driven solutions to meet business goals;
Explore innovative ways for data integration to enforce good governance on data management and regulatory compliance;
Assess the potential usefulness and validity of data sources;
Act as a Data Steward of the Data Middle Layer, work with business users to plan/ document data dictionary, data flow, variables definition control and to achieve the goal of one source of truth;
Build and deploy the predictive model on cloud;
Support ad-hoc duties as assigned.  
The Ideal Candidate
Bachelor’s degree, preferably in Mathematics, Statistics, Computer Science related discipline; 
Minimum 2 years of experience relating to Data Analytics and Data integration;
Knowledge in SQL, Python is required;
Experience in statistical libraries by using python;
Experience in the solution of ETL, cleaning, desensitization;
Experience in data visualization tools, such as Data Studio, PowerBI;
Knowledge and hands-on experience on GCP platform and tools including BigQuery, Data Fusion, Compute Engine, Cloud Function, Pub/Sup, Source Repositories;
Good communication and presentation skills;
Airline or travel industry knowledge is highly beneficial.
Please note that with effect from 1 June 2022 onwards, all HK Express employees and contractors who work in Cathay House and all other Cathay Group Company premises in Hong Kong must have received a third dose of COVID 19 vaccine. Being tested regularly for COVID-19 is not an option. Consideration will be given to those who are unable to get vaccinated for valid medical reasons.
Your Future Work Life
Fly anywhere we fly for free with your friends and family to explore the world
Hybrid working with flexibility in workplace and working hours to foster work-life harmony
Open office to collaborate, connect and share great ideas
Energetic and multicultural teammates from up to 50 nationalities!
Company-organized shuttle buses connecting the workplace with major locations in the HK Island, Kowloon and N.T.
Apply now to make YOUR MOVE!",Entry Level,2 years,,Degree,Full Time,"Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-100003009909582?jobId=jobsdb-hk-job-100003009909582&sectionRank=14&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
IT Specialist ($25K - $30K),salary,Manpower Services (Hong Kong) Limited,2022-12-06,Aberdeen,"Responsibilities
Air network service and process improvement
Analyze end-to-end package movement process and collaborate with process owners to identify service and process improvement opportunities
Design and evaluate various improvement initiatives
Summarize and present findings and recommendations to executives and stakeholders
Plan and lead project implementation with cross-functional teams using Project Management best practices
Prepare project updates, reports and presentations
Support various strategic, tactical and contingency assignments
Data analysis and visualization
Design programs to collect and process data, and build & evaluate data models
Extract, clean, and transform structured and unstructured data from various sources in support of sustainability reporting and analytics requirements
Explore and analyze data using statistical and visualization techniques
Build BI dashboards to deliver actionable insights to business users & executives
Support enhancement/automation data processing and other data analytics projects
Process automation
Collect and analyze user process automation request
Develop and document automation solution
Implement the automation and provide continuous support to user
Requirement
A Bachelor degree in Engineering, IT, Computer Science, Statistics, or similar disciplines
3+ years solid experience in data analytics, dashboard development and database programming
Basic knowledge on software development principles
Strong data analytics, visualization and presentation skills
Experience in robotic process automation or other automation tools
Proficiency in Python, SQL, and VBA. Knowledge in R or Power BI is an advantage
Logical thinking and capable of articulating complex problems and solutions
Fluency in written and spoken English is a must; and proficiency in Mandarin is an advantage",Middle,3 years,http://www.manpowergroupgrc.hk,Degree,Contract,"Engineering, Engineering Project Management, Transportation & Logistics, Inventory / Warehousing, Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/it-specialist-%2425k-%2430k-100003009911447?jobId=jobsdb-hk-job-100003009911447&sectionRank=15&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
"Data Analyst, 35k, Perm, MNC",salary,Recruit Logic Limited,2022-12-05,Tseung Kwan O,"Responsibilities:
Interpret data, analyze results using statistical techniques and provide ongoing reports
Provide advanced analysis and knowledge-based reports to help track customer behaviour and campaign performance
Monitor, analyze and interpret data from internal data sources and analytic tools
Conduct analysis including sales performance, traffic flows, customer segmentation, customer journey analysis, and marketing effectiveness/strategy
Explore opportunities from digital marketing channels Provide marketing insights which are useful to maximize conversion rate

Requirements:
High School Diploma or above in Business Administration, Information Technology, Computer Science, Statistics or any related
2 years of experience in data analysis and/or CRM
Understand e-commerce data in order to conduct evaluations of patterns and trends and provide operational reporting, forecasting, and marketing action plans
Excellent written and verbal communication skills
Exceptional interpersonal skills
Strong Adobe Analytics, Google Analytics and spreadsheet skills
Hands-on experience in Adobe Analytics is an advantage
Proven experience in e-commerce is a plus",Entry Level,2 years,,Non-Degree Tertiary,"Full Time, Permanent","Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-35k-perm-mnc-100003009909876?jobId=jobsdb-hk-job-100003009909876&sectionRank=19&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
Machine Learning Engineer,salary,A.S. Watson Retail (HK) Limited,2022-12-05,Shatin Area," Come and join a Winning Team
 We are Awesome !
 Why Should You Join Us?
 At ASW, we believe in our people, in teamwork and the importance of your personal growth. If you are looking for the opportunity to join our award-winning international family with 16,300+ stores across 28 markets in Asia and Europe, the ASW family welcomes you…  #BePartofMORE
 You can enjoy :   
Convenient office location, less than 5 min. walk from MTR
Free round-trip lunchtime shuttle bus services to Shatin
Comprehensive Medical and Life insurance coverage, including your spouse and children
Well-equipped Gym inside our office building
Onsite Clinic and Lactation Room
Role Purpose:
We are looking for a Machine Learning Engineer to work with our Data Science team to develop scalable and maintainable data-driven solutions. The primary focus of the role is to productionalize and scale machine learning models. You will be working closely with our Data Architects, Engineers and Data Scientist to build end-to-end ML applications and scale the solution to different business units.
A typical day in this Role: 
Solving complex business problems by designing and implementing algorithms and models.
Measuring and optimizing the performance of algorithms and models.
Enhancing data collection procedures to include information that is relevant to building advanced analytics.
Working closely with project managers and commercial users to understand business requirements and translating them into technical requirements.
Bringing in best practices in advanced data analytics, predictive modeling and other development processes.
Developing automated data pipeline with a continuous integration mindset.
Assisting in promoting data culture and best practices within the organization.

 This job is a good fit for You if:  
You are a Problem Solver - You make decisions based on evidence-based opinions. When you do something new, you seek to understand as much as possible and don’t jump in but conduct your due diligence and plan for moving forward.
You are an Expert - You have in-depth knowledge of a key area and seek possible solutions through study and research. You tend to be more reserved, and they don’t need to be in charge. You work well in teams and are also comfortable working alone. 
You are a Detailer - You like to dig into the details, and you excel at minimizing risk. You deliberate fully before making decisions and will need to see all the facts before reaching a conclusion. You follow up rigorously.
Success will depend on:  
Degree in Computer Science, Statistics, Mathematics, Machine Learning or related fields.
At least 2 years of experience as a Machine Learning Engineer or Data Scientist.
Self-motivated, adaptable in a fast-paced environment and with strong sense of ownership. ·
Design, review and deploy Machine Learning solutions to a distributed machine learning platform on a predominately Microsoft Azure architecture.
Advanced proficiency in Python, Spark or R. Familiar with ML packages (scikit-learn, PyTorch, LightGBM, etc..).
With a good understanding of software engineering and DevOps skills (Docker, Git, CI/CD, etc..).
Able to communicate the analytic results in a clear and effective manner.
What is holding you back?
 Don’t miss out on this great chance to shape Your life!
  Apply now! 
Interested parties, please send your resume with current and expected salary package to our Company’s email.  

We are an equal opportunity employer and welcome applications from all qualified candidates. The information provided will be treated in strict confidence and be used only for consideration of your application for relevant/ similar posts within the A.S. Watson Group. ",Entry Level,2 years,https://www.aswatsoncareers.com/,Degree,"Full Time, Permanent","Information Technology (IT), Technical Writing, Data Scientist",https://hk.jobsdb.com/hk/en/job/machine-learning-engineer-100003009908991?jobId=jobsdb-hk-job-100003009908991&sectionRank=20&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
Software Engineer,salary,FundPark Limited,2022-12-06,Ngau Tau Kok,"FundPark is a preeminent Asia-based eCommerce liquidity solution and technology provider. We’ve recently secured US$250 million to bridge SMEs working capital needs with Goldman Sachs as senior facility provider. Now, the company is going through an exponential growth and is expanding the teams.
We are transforming our technology to become more efficient and effective to improve our customers journey. We are a rapidly growing team looking to hire multiple Software Engineer. This is a fantastic opportunity to work with various team members on internal projects, deliver technology solutions, and to develop and implement project activities to create the next generation FinTech business.
You're Good At:
Carry out professional coding on business logic, data modelling and API development
Actively support a quality automatic testing solution for various environments
Assure product quality in terms of functionality, performance, and usability
Follow best practices, maintain and support the application services with high stability to sustain business operations
Extra Awesome:
Higher Diploma or Degree in Computer Science or related disciplines
Ideally 1-3 years of experience in commercial software development. Fresh graduates will be considered as Junior Software Engineer.
Strong command of python with Django frameworks
Experience with SQL and relational database / REST APIs / SaaS platform and authentication is an advantage
Sound knowledge with source control like Git, or GitLab
Familiar with Mac OS, Linux",,,,,"Full Time, Permanent","Information Technology (IT), Application Specialist - Software, Software Development, Data Scientist",https://hk.jobsdb.com/hk/en/job/software-engineer-100003009913392?jobId=jobsdb-hk-job-100003009913392&sectionRank=21&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
Data Analyst,salary,KPay Merchant Service Limited,2022-12-05,Ngau Tau Kok,"Job Responsibilities:
To Perform Extract-Transform-Load process, Data Modeling, Data Analytics
Source, cleansing and consolidate data from cloud data warehouse
Work Closely with Stakeholders to develop end-to-end BI Solutions & Dashboards
Provide maintenance support, troubleshoot Issues on BI reports and Dashboards
Job Requirements:
Degree or equivalent qualification in Computer Science, Statistics or related disciplines.
Good command of querying databases and using statistical computer languages: Python, R and SQL,
Self-motivated and able to work independently
Excellent interpersonal, written and verbal communications skills in both English and Chinese.",Middle,3 years,,Degree,"Full Time, Permanent","Information Technology (IT), DBA, Testing / QA, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-100003009910185?jobId=jobsdb-hk-job-100003009910185&sectionRank=22&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
Data Analyst - Regional Bank,salary,BDO Financial Services Limited,2022-12-06,district,"Our client is a multinational bank with an all-rounded financial operations at its prime within the APAC region.  They are looking for a young and energetic individual to support their Group Finance Project initiatives

 Key Responsibilities: 
Develop Dashboards to monitor operations performance
Managing data quality issues and data design/solutions
Support on UAT and users' transition experience
Consolidate a large amount of market data and apply analytical methods to generate business insights and improve operational efficiency
Develop Qlik Sense solutions (or equivalent) as a BI tool to visualize and automate reporting
Facilitate and coordinate with different functional units to including front office, middle office and supporting departments to ensure the progress of the projects /initiatives
Cultivate the mindset of internal customers on continuous improvement through various improvement initiatives
Keep abreast of the market, suggest and propose new improvement initiatives
Liaise with business users and IT on defining project initiatives, requirement documentation and analysis
Develop testing schedules and test plans for UAT with close monitoring on implementation progress
Document on workflow procedures for business users
Provide recommendations on operational process workflows reviews and solutions
 Key Requirements: 
Tertiary qualification or above preferred
At least 3-5 years’ experience in performing data analysis & extraction with the use of SQL
Experience in data science and modelling is an added advantage (but not a must)
Good Knowledge with project mechanics and process design techniques preferred
Well versed in digital business insight 
Good business analysis, problem solving and facilitation skills
Able to manage personal workload with good communication skills
Good command of both written and spoken English, Cantonese & Mandarin
Interested parties please send your application with full career history, current and expected salary by clicking Apply Now button. Applications will be treated in strict confidence. Personal data collected will be used for recruitment purposes only.",Middle,3 years,,Degree,"Full Time, Permanent","Banking / Finance, Financial Services, Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-regional-bank-100003009913195?jobId=jobsdb-hk-job-100003009913195&sectionRank=23&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
"Data Analyst (PowerBI / Python / R / SQL, Air Network Planning)",salary,PERSOLKELLY Hong Kong Limited,2022-12-05,district,"Our client from one of the largest company expertise in delivery service are looking for a Senior Engineer / Analyst / Planner under their Air Network Planning team to support of their Asia Pacific growth strategy.

Responsibilities
Collaborate with internal/external stakeholders to identify air network optimization and expansion opportunities;
Design programs to collect & process data and build & evaluate data models;
Explore and analyze data using statistical and visualization techniques;
Build BI dashboards to deliver actionable insights to business users & executives;
Design and evaluate various network options including flight schedules and package movement plans;
Develop business case with profit and loss statement;
Summarize and present findings and recommendations to executives and stakeholders;
Plan and lead project implementation with cross-functional teams using Project Management best practices;
Prepare project updates, reports and presentations;
Support regional execution and consultation of flight and regulatory matters;
Support various strategic, tactical and contingency assignments.
Requirement

A Bachelor degree in engineering, computer science, or similar disciplines;
3 - 5 years of experience in data analytics with BI software and basic knowledge in Python and R programming
Strong data analytics, visualization and presentation skills;
Proficiency in dashboards & programming;
Logical thinking and capable of articulating complex problems and solutions;
Project management best practices; certification is a plus;
Fluency in written and spoken English is a must; and proficiency in Mandarin is an advantage.
To apply for this position, please send your full résumé to Contract_hk @persolkelly.com in word format indicating the reference number and title. If you are not contacted by our consultants within 2 weeks, please consider your application unsuccessful. All applications will be treated in strict confidence, and used for recruitment purposes only in accordance with PERSOLKELLY Hong Kong Limited’s Privacy Notice. ",,3 years,http://www.persolkelly.com.hk,Degree,Full Time,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Application Specialist - Software, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-powerbi-python-r-sql-air-network-planning-100003009909299?jobId=jobsdb-hk-job-100003009909299&sectionRank=24&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
Data Analyst,salary,Sa Sa Cosmetic Company Limited,2022-12-05,Chai Wan,"Responsibilities

You will be working closely with various business and technical teams, and transform business requirements into value-added solutions with innovative design. You will be playing a key role in delivering the solutions by performing different activities in the business analysis life cycle:
Responsible for business requirement elicitation, quality assurance planning, testing, post-implementation transition, and related documentations
Support feasibility study, solution design, service provider evaluation for business initiatives
Resource prioritization and scheduling with internal business stakeholders, IT functional units and external consultants
Lead multiple small to medium size initiatives or projects
Scope includes retail supply chain system components and Online-to-Offline processes, such as Point-of-Sales, Merchandising System, BI, Financial, Social Media, etc.
Requirements
Degree or Diploma in Information Systems, Computer Science, Business, Engineering or related discipline
3-5 years of relevant experience on Data Warehouse and Data analysis
MS Power BI & Tableau experience is a must
Azure Synapse and SQL DB experience is highly prefer
Good understanding of retail industry; experience in loyalty, eCommerce, social media and other retail technologies is definitely an advantage
Target oriented, strong analytical mind, and excellent communication & interpersonal skill
Capable to work independently and collaborate with stakeholders from different aspects
Good command of spoken and written English and Chinese
We offer
5 - day work week
Medical Benefits
Annual Merit Bonus
Performance Bonus
Staff Purchase Discounts
Staff Recreation Activity
Shuttle Bus Service
Education Sponsorship",Entry Level,3 years,http://corp.sasa.com/en/home,Non-Degree Tertiary,Full Time,"Information Technology (IT), Testing / QA, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-100003009907843?jobId=jobsdb-hk-job-100003009907843&sectionRank=25&token=0~d2eb872c-c032-41a5-981a-77f0157672fc&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F1
